userID, animeID, score
1,1,10
1,5,8
1,6,10
1,7,9
1,8,6
1,15,7
1,16,8
1,17,7
1,18,8
1,19,9
1,20,7
1,21,9
1,22,7
1,23,6
1,24,9
1,25,8
1,26,6
1,27,0
1,28,7
1,29,8
1,30,10
1,31,9
1,32,9
1,33,9
1,43,8
1,44,10
1,45,8
1,46,8
1,47,5
1,48,7
1,49,8
1,50,0
1,51,7
1,52,7
1,53,7
1,54,7
1,55,5
1,56,6
1,57,9
1,58,8
1,59,9
1,60,8
1,61,8
1,62,6
1,63,7
1,64,0
1,66,6
1,68,7
1,71,9
1,72,10
1,73,10
1,75,0
1,79,0
1,90,6
1,93,8
1,97,8
1,98,0
1,101,0
1,107,0
1,114,0
1,120,9
1,121,9
1,122,9
1,127,5
1,129,0
1,132,8
1,133,7
1,135,9
1,136,10
1,137,9
1,138,9
1,139,9
1,144,5
1,145,5
1,146,7
1,147,7
1,150,7
1,153,9
1,154,6
1,157,6
1,159,0
1,160,9
1,161,8
1,164,9
1,165,8
1,166,6
1,167,8
1,168,7
1,169,8
1,170,7
1,174,6
1,177,0
1,178,0
1,180,7
1,181,7
1,182,9
1,183,7
1,185,7
1,186,7
1,187,8
1,188,7
1,189,8
1,190,8
1,191,7
1,192,7
1,193,7
1,194,8
1,195,8
1,196,8
1,197,5
1,198,9
1,199,10
1,200,7
1,201,7
1,202,8
1,203,7
1,204,6
1,205,9
1,207,7
1,208,8
1,210,7
1,211,7
1,212,4
1,213,4
1,214,3
1,215,5
1,217,7
1,218,7
1,219,8
1,220,7
1,221,5
1,222,0
1,225,0
1,226,8
1,227,8
1,235,6
1,237,0
1,239,8
1,240,8
1,241,6
1,245,9
1,246,6
1,248,6
1,249,7
1,253,7
1,255,6
1,256,6
1,257,4
1,258,8
1,259,8
1,260,7
1,261,8
1,262,7
1,263,10
1,264,9
1,265,9
1,266,7
1,267,8
1,268,8
1,269,9
1,270,8
1,272,5
1,273,0
1,274,0
1,275,6
1,276,7
1,277,0
1,278,7
1,281,5
1,289,5
1,290,8
1,296,7
1,297,8
1,304,8
1,306,8
1,316,3
1,317,7
1,318,5
1,319,5
1,320,5
1,322,8
1,323,6
1,329,9
1,330,7
1,355,0
1,356,7
1,361,6
1,368,5
1,379,0
1,382,7
1,384,7
1,389,0
1,390,7
1,391,0
1,392,8
1,393,9
1,394,0
1,395,0
1,396,0
1,400,7
1,401,8
1,402,0
1,403,4
1,406,6
1,411,0
1,412,7
1,415,7
1,416,9
1,430,0
1,431,10
1,433,8
1,437,0
1,455,0
1,457,9
1,458,4
1,472,5
1,476,7
1,477,0
1,478,7
1,486,9
1,487,0
1,513,0
1,517,8
1,523,8
1,558,8
1,559,0
1,565,8
1,570,8
1,572,0
1,576,6
1,578,0
1,585,9
1,591,6
1,597,7
1,622,6
1,627,9
1,637,6
1,710,8
1,762,0
1,777,9
1,790,0
1,798,0
1,811,0
1,813,0
1,817,0
1,834,0
1,841,6
1,842,7
1,845,0
1,846,7
1,849,10
1,853,9
1,856,0
1,857,6
1,860,6
1,861,7
1,863,0
1,877,8
1,889,9
1,916,7
1,917,7
1,918,0
1,934,0
1,936,7
1,940,7
1,974,0
1,1015,7
1,1023,9
1,1029,0
1,1030,7
1,1067,0
1,1087,0
1,1142,0
1,1195,0
1,1198,5
1,1210,8
1,1222,7
1,1361,8
1,1453,6
1,1482,0
1,1519,7
1,1530,7
1,1535,9
1,1538,0
1,1555,0
1,1559,9
1,1562,7
1,1568,0
1,1570,0
1,1571,8
1,1575,8
1,1589,0
1,1604,5
1,1608,0
1,1686,0
1,1689,8
1,1690,0
1,1698,10
1,1699,7
1,1722,7
1,1735,7
1,1780,5
1,1813,8
1,1818,8
1,1827,9
1,1842,6
1,1860,6
1,1887,0
1,1889,0
1,1943,7
1,1965,6
1,2001,8
1,2002,0
1,2025,8
1,2026,8
1,2034,8
1,2104,8
1,2112,7
1,2129,0
1,2159,8
1,2164,0
1,2167,0
1,2236,9
1,2246,0
1,2251,0
1,2403,0
1,2404,0
1,2476,6
1,2494,0
1,2508,7
1,2602,0
1,2605,8
1,2608,0
1,2759,0
1,2795,6
1,2890,8
1,2904,6
1,2927,8
1,2963,0
1,2966,8
1,2993,0
1,3001,8
1,3002,8
1,3090,0
1,3226,7
1,3229,6
1,3407,5
1,3455,0
1,3457,0
1,3588,0
1,3655,0
1,3701,0
1,3784,0
1,4081,0
1,4106,0
1,4151,0
1,4163,0
1,4186,0
1,4382,0
1,4477,0
1,5028,0
1,5114,0
1,5258,8
1,5341,0
1,5630,8
1,6007,0
1,6372,0
1,6573,0
1,6637,0
1,9776,0
1,10162,9
1,10800,0
1,11061,9
1,11113,0
1,12355,8
1,14837,7
1,15059,0
1,15809,7
1,16498,9
1,19647,0
1,22535,0
1,24439,0
1,24833,0
1,25777,8
1,28171,0
1,28977,0
1,30276,8
1,31163,0
1,31240,0
1,32281,0
1,34134,0
1783,1,9
1783,18,9
1783,19,0
1783,20,6
1783,21,6
1783,24,8
1783,26,0
1783,30,10
1783,31,7
1783,32,9
1783,44,0
1783,47,7
1783,50,0
1783,51,7
1783,53,0
1783,54,8
1783,56,0
1783,57,8
1783,60,8
1783,62,6
1783,63,8
1783,64,7
1783,65,7
1783,66,0
1783,67,0
1783,71,9
1783,72,10
1783,73,9
1783,74,0
1783,76,7
1783,77,9
1783,79,9
1783,94,0
1783,97,8
1783,98,10
1783,99,9
1783,101,10
1783,102,0
1783,105,7
1783,109,7
1783,133,7
1783,134,8
1783,142,6
1783,145,8
1783,146,7
1783,147,10
1783,150,0
1783,152,8
1783,153,0
1783,156,7
1783,164,9
1783,165,0
1783,169,7
1783,174,7
1783,176,7
1783,182,9
1783,185,7
1783,186,8
1783,187,8
